Brand,Year,UsedOrNew,Transmission,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineVolume,ExtCol,State,DriveFront,DriveRear
Jeep,2018.0,USED,Automatic,Diesel,7.5,76472.0,6.0,SUV,4.0,5.0,41950.0,3.0,White ,NSW,True,True
Hyundai,2018.0,USED,Automatic,Unleaded,7.4,62719.0,4.0,Hatchback,4.0,5.0,21999.0,2.0,Silver ,NSW,True,False
Nissan,2020.0,USED,Automatic,Unleaded,7.9,52035.0,4.0,SUV,4.0,5.0,27990.0,2.5,Grey ,NSW,True,False
Honda,2010.0,USED,Automatic,Unleaded,6.6,146445.0,4.0,Sedan,4.0,5.0,8950.0,1.5,Black ,NSW,True,False
Honda,2020.0,USED,Automatic,Unleaded,7.3,35214.0,4.0,SUV,4.0,7.0,37880.0,1.5,Grey ,NSW,True,False
Holden,2014.0,USED,Manual,Unleaded,7.4,163000.0,4.0,Hatchback,5.0,5.0,7950.0,1.6,Red ,NSW,True,False
Jeep,2013.0,USED,Automatic,Premium,10.1,69001.0,6.0,SUV,4.0,5.0,24990.0,3.6,Grey ,NSW,False,True
Toyota,2007.0,USED,Automatic,Unleaded,9.6,106718.0,4.0,SUV,4.0,5.0,14999.0,2.4,Silver ,NSW,True,True
Holden,2016.0,USED,Automatic,Unleaded,8.3,59689.0,6.0,Sedan,4.0,5.0,22999.0,3.0,Red ,NSW,False,True
Mercedes-Benz,2010.0,USED,Automatic,Premium,9.0,177834.0,4.0,Coupe,2.0,4.0,7999.0,1.8,Silver ,NSW,False,True
Dodge,2012.0,USED,Automatic,Unleaded,,147589.0,,Wagon,,,10999.0,,White ,NSW,,
Mazda,2013.0,USED,Automatic,Unleaded,6.6,105767.0,4.0,Sedan,4.0,5.0,19999.0,2.5,White ,NSW,True,False
Volkswagen,2018.0,USED,Automatic,Premium,6.0,87293.0,4.0,Commercial,3.0,2.0,30999.0,1.4,White ,NSW,True,False
Honda,2013.0,USED,Automatic,Unleaded,6.7,154347.0,4.0,Sedan,4.0,5.0,15990.0,1.8,Silver ,NSW,True,False
Jeep,2021.0,USED,Automatic,Unleaded,7.9,20827.0,4.0,SUV,4.0,5.0,32888.0,2.4,White ,NSW,True,False
Toyota,2008.0,USED,Automatic,Unleaded,,112980.0,,Commercial,,,31900.0,,White ,NSW,,
Mazda,2014.0,USED,Automatic,,,97745.0,,Wagon,,,22999.0,,Blue ,NSW,,
Toyota,2010.0,USED,Automatic,Unleaded,6.5,147626.0,4.0,Hatchback,5.0,5.0,10995.0,1.3,White ,NSW,True,False
Jeep,2014.0,USED,Automatic,Diesel,7.5,114424.0,6.0,SUV,4.0,5.0,29990.0,3.0,Grey ,NSW,True,True
Mazda,2009.0,USED,Manual,Unleaded,8.6,153020.0,4.0,Hatchback,5.0,5.0,13950.0,2.5,Red ,NSW,True,False
Ford,2016.0,USED,Automatic,Diesel,9.0,98700.0,5.0,Ute / Tray,4.0,5.0,36999.0,3.2,Blue ,NSW,True,True
Holden,2011.0,USED,Automatic,Diesel,,183924.0,,Wagon,,,9990.0,,White ,NSW,,
Toyota,2013.0,USED,Automatic,Premium,7.1,103706.0,4.0,Coupe,2.0,4.0,24990.0,2.0,Orange ,NSW,False,True
Volkswagen,2013.0,USED,Automatic,Premium,5.2,126532.0,4.0,Hatchback,5.0,5.0,13990.0,1.4,Gold ,NSW,True,False
Mitsubishi,2013.0,USED,Automatic,Unleaded,7.3,73421.0,4.0,Hatchback,5.0,5.0,16990.0,2.0,Grey ,NSW,True,False
Toyota,2009.0,USED,Automatic,Unleaded,9.9,155135.0,4.0,Sedan,4.0,5.0,10995.0,2.4,White ,NSW,True,False
Hyundai,2013.0,USED,Automatic,Unleaded,6.4,123330.0,4.0,Hatchback,5.0,5.0,12990.0,1.4,Grey ,NSW,True,False
Mitsubishi,2014.0,USED,Automatic,Unleaded,8.9,44249.0,4.0,Hatchback,5.0,5.0,18990.0,2.4,Silver ,NSW,True,False
Mazda,2018.0,USED,Automatic,Unleaded,4.9,27100.0,4.0,Hatchback,5.0,5.0,23999.0,1.5,Silver ,NSW,True,False
Mazda,2009.0,USED,Automatic,Unleaded,8.2,70661.0,4.0,Hatchback,5.0,5.0,14995.0,2.0,White ,NSW,True,False
Mitsubishi,2014.0,USED,Automatic,Diesel,9.3,215100.0,4.0,Ute / Tray,4.0,5.0,18995.0,2.5,White ,NSW,True,True
Volkswagen,2014.0,USED,Automatic,Premium,5.4,155036.0,4.0,Hatchback,5.0,5.0,14990.0,1.4,Black ,NSW,True,False
BMW,2012.0,USED,Automatic,Premium,7.5,67678.0,6.0,Hatchback,5.0,5.0,29950.0,3.0,Grey ,NSW,False,True
Holden,2015.0,USED,Automatic,Unleaded,9.8,133934.0,6.0,Wagon,4.0,5.0,22999.0,3.6,White ,NSW,False,True
Volkswagen,2008.0,USED,Automatic,Premium,8.0,174915.0,4.0,Hatchback,5.0,5.0,14990.0,2.0,Silver ,NSW,True,False
Holden,2014.0,USED,Automatic,Unleaded,7.4,117000.0,4.0,Sedan,4.0,5.0,7888.0,1.8,Silver ,NSW,True,False
Hyundai,2018.0,USED,Automatic,Diesel,8.8,190176.0,4.0,Wagon,4.0,8.0,27990.0,2.5,Grey ,NSW,False,True
Mitsubishi,2013.0,USED,Manual,Diesel,9.1,231675.0,4.0,Ute / Tray,4.0,5.0,19800.0,2.5,White ,NSW,True,True
BMW,2021.0,USED,Automatic,Premium,6.4,23332.0,4.0,Sedan,4.0,5.0,67988.0,2.0,Black ,NSW,False,True
